title,platform,publisher,sales_genre,release_year,rating,na_sales,eu_sales,jp_sales,other_sales,global_sales,plays,playing,backlogs,wishlist,num_reviews,sales_per_review,engagement_ratio
Fallout 4,PC,Bethesda Softworks,Role-Playing,2015,3.1,0.5,0.63,0.0,0.1,1.23,16000.0,407.0,2900.0,752.0,1000.0,0.0012,0.0254
Uncharted 4: A Thief's End,PS4,Sony Computer Entertainment,Shooter,2016,4.1,1.3,2.07,0.18,0.65,4.2,14000.0,177.0,2700.0,1200.0,1800.0,0.0023,0.0126
The Legend of Zelda: A Link to the Past,SNES,Nintendo,Action,1991,4.1,2.42,0.91,1.15,0.13,4.61,13000.0,360.0,3200.0,911.0,1700.0,0.0027,0.0277
The Legend of Zelda: A Link to the Past,GBA,Nintendo,Action,1991,4.1,1.75,0.52,0.33,0.1,2.7,13000.0,360.0,3200.0,911.0,1700.0,0.0016,0.0277
Silent Hill,PS,Konami Digital Entertainment,Action,1999,4.1,0.71,0.48,0.3,0.1,1.6,6800.0,272.0,2300.0,1600.0,1300.0,0.0012,0.04
Super Smash Bros. Brawl,Wii,Nintendo,Fighting,2008,3.8,6.75,2.61,2.66,1.02,13.04,19000.0,51.0,511.0,250.0,1300.0,0.01,0.0027
Borderlands 2,X360,Take-Two Interactive,Shooter,2012,3.5,1.89,0.91,0.04,0.24,3.07,16000.0,344.0,2700.0,494.0,1100.0,0.0028,0.0215
Borderlands 2,PS3,Take-Two Interactive,Shooter,2012,3.5,1.05,0.77,0.1,0.36,2.28,16000.0,344.0,2700.0,494.0,1100.0,0.0021,0.0215
Borderlands 2,PC,Take-Two Interactive,Shooter,2012,3.5,0.42,0.41,0.0,0.11,0.93,16000.0,344.0,2700.0,494.0,1100.0,0.0008,0.0215
Borderlands 2,PSV,Take-Two Interactive,Shooter,2012,3.5,0.43,0.21,0.01,0.19,0.83,16000.0,344.0,2700.0,494.0,1100.0,0.0008,0.0215
